alert_id,generated_at,alert_type,severity,trigger_source,station_id,station_name,city,district,state,parameter_violated,measured_value,threshold_value,wqi_score,ml_confidence_pct,notified_ministry,notified_hospital,hospital_notified,cmo_notified,ndma_notified,state_govt_notified,alert_message,status,acknowledged_by,acknowledged_at,resolution_notes
ALT-001,2026-04-02 07:15:00,ML + Sensor,Critical,CPCB Sensor + ML Model,CPCB-UP-001,Varanasi Ghat Sensor,Varanasi,Varanasi,Uttar Pradesh,Total Coliform,642 CFU/100mL,500 CFU/100mL,28.8,91,TRUE,TRUE,District Hospital Varanasi; SIR Sundar Lal Hospital BHU,TRUE,TRUE,TRUE,CRITICAL: Total Coliform 642 CFU/100mL at Varanasi (threshold 500). ML model predicts 91% probability of Cholera outbreak within 72 hours. Immediate boiling advisory and field inspection required.,Active,Dr. Ananya Sharma,2026-04-02 09:00:00,Water supply shut-off ordered in Sonarpura. Field team deployed. Chlorination boosted.
ALT-002,2026-04-02 10:30:00,Sensor,High,CPCB Sensor,CPCB-BR-001,Patna Ganga Ghat,Patna,Patna,Bihar,Turbidity,12.4 NTU,5 NTU,49.8,74,TRUE,TRUE,Patna AIIMS; PMCH Patna,TRUE,FALSE,TRUE,WARNING: Turbidity spiked to 12.4 NTU at Patna station (WHO threshold 5 NTU). Correlated with 3 community reports. Possible upstream contamination. Enhanced monitoring activated.,Active,Dr. Rakesh Mishra,2026-04-02 12:15:00,PHED Bihar notified. Upstream check ongoing.
ALT-003,2026-04-02 14:45:00,Sensor,High,CPCB Sensor,CPCB-WB-001,Kolkata Hooghly,Kolkata,Kolkata,West Bengal,pH,9.8,8.5 max,55.8,68,TRUE,TRUE,SSKM Medical College; Medical College Hospital Kolkata,TRUE,FALSE,FALSE,WARNING: pH anomaly detected at Kolkata East. pH: 9.8 (normal range 6.5-8.5). Industrial discharge suspected. Kolkata Municipal Corporation notified.,Active,Dr. Priti Banerjee,2026-04-02 16:00:00,PCB West Bengal engaged. Factory inspection ordered near discharge point.
ALT-004,2026-04-03 06:00:00,ML Model,Watch,ML Model,CPCB-GJ-001,Surat Tapi River,Surat,Surat,Gujarat,Dissolved Oxygen,4.8 mg/L,6.0 mg/L min,59.8,62,FALSE,FALSE,,FALSE,FALSE,FALSE,WATCH: Dissolved Oxygen dropped to 4.8 mg/L at Surat (minimum 6.0). ML model predicts continued decline over next 48 hours based on temperature and upstream data. Pre-emptive watch alert.,Watch,Auto-System,,DO slight recovery observed. Monitoring continues.
ALT-005,2026-04-01 22:00:00,ML + Community,Critical,Community Reports + ML Model,CPCB-UP-001,Varanasi Ghat Sensor,Varanasi,Varanasi,Uttar Pradesh,Fecal Coliform,380 CFU/100mL,100 CFU/100mL,30.4,89,TRUE,TRUE,District Hospital Varanasi; BHU Medical Center,TRUE,TRUE,TRUE,CRITICAL: ML model detected correlation between 8 community reports of waterborne illness and elevated fecal coliform 380 CFU/100mL. Cholera cluster likely. Emergency response needed.,Active,CMO Varanasi,2026-04-02 00:30:00,Emergency response team activated. Additional CPCB sampling ordered.
ALT-006,2026-04-04 08:15:00,Sensor,Moderate,CPCB Sensor,CPCB-UP-004,Kanpur Industrial Zone,Kanpur,Kanpur Nagar,Uttar Pradesh,BOD,5.2 mg/L,3.0 mg/L,32.8,77,TRUE,FALSE,,TRUE,FALSE,TRUE,WARNING: BOD exceeded limit at Kanpur station. BOD: 5.2 mg/L (threshold 3.0). Industrial discharge likely from leather industry effluent. UPPCB notified.,Acknowledged,Dr. Suresh Yadav,2026-04-04 10:00:00,UPPCB filed show cause notice to 3 tanneries. Effluent treatment plant inspection in progress.
ALT-007,2026-04-05 09:30:00,ML Model,High,ML Model,CPCB-BR-002,Muzaffarpur Burhi Gandak,Muzaffarpur,Muzaffarpur,Bihar,Total Coliform,312 CFU/100mL,500 CFU/100mL,46.9,72,TRUE,TRUE,Sri Krishna Medical College Muzaffarpur,TRUE,FALSE,TRUE,HIGH RISK: ML model predicts 72% probability of waterborne disease outbreak in Muzaffarpur within 5 days based on multi-parameter trend analysis + recent patient data from ABDM.,Acknowledged,Dr. Vandana Sinha,2026-04-05 11:00:00,Preventive boiling advisory issued. Health camps initiated in Mithanpura.
ALT-008,2026-04-06 07:00:00,Sensor,Moderate,CPCB Sensor,CPCB-WB-003,Kolkata East Canal,Kolkata,North 24 Parganas,West Bengal,TDS,620 mg/L,500 mg/L,48.0,58,FALSE,TRUE,North 24 Parganas District Hospital,FALSE,FALSE,FALSE,MODERATE: TDS levels at 620 mg/L at Kolkata East Canal (max 500 mg/L). Suspected saline intrusion from recent cyclone. Water not suitable for drinking. Tanker supply requested.,Resolved,District Collector N 24 PGS,2026-04-06 15:00:00,Tanker water supply arranged. TDS returning to normal after 48 hours.
ALT-009,2026-04-07 11:45:00,Community + ML,High,Community Reports,CPCB-MP-001,Bhopal Upper Lake,Bhopal,Bhopal,Madhya Pradesh,Community-reported illness,N/A - Citizen reports,N/A,70.0,68,FALSE,TRUE,Hamidia Hospital Bhopal; Gandhi Medical College,TRUE,FALSE,FALSE,HIGH: 14 community reports from MP Nagar zone reporting yellowish water and GI illness. ML model correlates with drop in lake water level post-heatwave. Sent to CMO Bhopal.,Acknowledged,Dr. Meera Tiwari CMO Bhopal,2026-04-07 14:00:00,PHED inspection team deployed to MP Nagar. Water samples collected.
ALT-010,2026-04-08 16:20:00,Sensor,Moderate,CPCB Sensor,CPCB-DL-002,Delhi Wazirabad Barrage,Delhi,North Delhi,Delhi,Ammonia,1.8 mg/L,0.5 mg/L,61.4,54,TRUE,FALSE,,FALSE,FALSE,TRUE,MODERATE: Ammonia levels elevated at Delhi Wazirabad (1.8 mg/L vs threshold 0.5 mg/L). Sewage overflow from upstream suspected. Delhi Jal Board notified. Monitoring enhanced.,Acknowledged,Delhi Jal Board Officer,2026-04-08 18:30:00,Sewage overflow point identified. Emergency repair underway.
