reading_id,station_id,city,state,reading_date,reading_time,pH,turbidity_NTU,dissolved_oxygen_mg_L,BOD_mg_L,total_coliform_CFU_100mL,fecal_coliform_CFU_100mL,TDS_mg_L,nitrates_mg_L,arsenic_ug_L,lead_ug_L,fluoride_mg_L,temperature_C,conductivity_uS_cm,WQI_score,WQI_category,anomaly_flag,alert_triggered
RD-001,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-01,06:00,8.4,10.2,4.8,4.2,520,310,480,18.4,6.2,8.1,1.2,26.4,820,32.1,Very Poor,TRUE,TRUE
RD-002,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-01,12:00,8.6,11.8,4.5,4.8,580,340,495,19.1,6.8,8.4,1.3,27.1,840,30.4,Very Poor,TRUE,TRUE
RD-003,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-01,18:00,8.9,13.1,4.2,5.1,642,380,510,20.2,7.1,9.2,1.4,27.8,860,28.8,Very Poor,TRUE,TRUE
RD-004,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-02,06:00,8.7,12.4,4.4,4.9,610,355,502,19.6,6.9,8.8,1.3,27.5,850,29.6,Very Poor,TRUE,TRUE
RD-005,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-02,12:00,8.8,13.5,4.1,5.3,672,398,518,20.8,7.4,9.5,1.5,28.2,870,27.9,Very Poor,TRUE,TRUE
RD-006,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-02,18:00,9.0,14.2,3.9,5.6,720,420,530,21.4,7.8,10.1,1.6,28.9,890,26.1,Very Poor,TRUE,TRUE
RD-007,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-03,06:00,8.5,10.8,4.6,4.5,548,325,488,18.9,6.5,8.3,1.2,27.0,832,31.4,Very Poor,TRUE,TRUE
RD-008,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-03,12:00,8.7,11.9,4.3,4.8,596,348,498,19.4,6.7,8.6,1.3,27.4,848,29.9,Very Poor,TRUE,TRUE
RD-009,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-03,18:00,8.8,12.9,4.0,5.1,638,375,512,20.0,7.0,9.0,1.4,27.9,858,28.5,Very Poor,TRUE,TRUE
RD-010,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-04,06:00,8.6,11.5,4.5,4.7,572,338,492,19.2,6.6,8.5,1.3,27.2,842,30.2,Very Poor,TRUE,TRUE
RD-011,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-04,12:00,8.8,12.6,4.2,5.0,624,368,506,19.8,6.9,8.9,1.4,27.7,854,29.1,Very Poor,TRUE,TRUE
RD-012,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-04,18:00,9.1,14.8,3.8,5.8,748,438,536,21.8,8.0,10.4,1.6,29.1,896,25.8,Very Poor,TRUE,TRUE
RD-013,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-05,06:00,8.5,11.0,4.5,4.6,555,330,490,19.0,6.6,8.4,1.3,27.1,836,31.0,Very Poor,TRUE,TRUE
